desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kawunganten Lor,-7.58543,108.919056,0.945,2.15,ok_azure
Desa Serang,-7.446416,108.788571,Balai Desa Segaralangu,-7.442669141,108.7829382,1.116,2.55,ok_azure
Desa Karangrena,-7.606723,109.133039,Balai Desa Karangrena,-7.607614387,109.1286205,1.162,2.4333,ok_azure
Desa Padangjaya,-7.312664,108.785827,Balai Desa Cilopadang,-7.304095476590585,108.7902956932206,1.168,2.1667,ok_azure
Desa Mekarsari,-7.400061,108.745623,Balai Desa Cisuru,-7.398928326,108.7365499,1.17,2.4667,ok_azure
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan,-7.307873,108.580217,1.192,2.3,ok_azure
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan,-7.307873,108.580217,1.192,2.3,ok_azure
Desa Purwodadi,-7.676727,109.348618,Balai Desa Karangsembung,-7.678502548,109.3554419,1.213,2.8333,ok_azure
Desa Purwodadi,-7.676727,109.348618,Balai Desa Karangsembung,-7.678502548,109.3554419,1.213,2.8333,ok_azure
Desa Purwodadi,-7.676727,109.348618,Balai Desa Karangsembung,-7.678502548,109.3554419,1.213,2.8333,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Cisumur,-7.532618723,108.8210025,1.245,3.5667,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Cisumur,-7.532618723,108.8210025,1.245,3.5667,ok_azure
Desa Cisumur,-7.528578,108.826473,Balai Desa Cisumur,-7.532618723,108.8210025,1.245,3.5667,ok_azure
Desa Bantarmangu,-7.332414,108.894194,Balai Desa Babakan,-7.342641751,108.8939473,1.241,3.8,ok_azure
Desa Cilopadang,-7.303708,108.790659,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,1.192,2.1333,ok_azure
Kelurahan Cilacap,-7.738098,109.014295,SMP N 1 Cilacap,-7.7385152,109.0090731,1.204,3.1167,ok_azure
Desa Bener,-7.269907,108.759242,Balai Desa Bener,-7.261083250655202,108.7534014098299,1.224,3.5667,ok_azure
Desa Panisihan,-7.585351,109.158374,Balai Desa Glempang,-7.577773384,109.1672232,1.306,2.15,ok_azure
Desa Cimanggu,-7.350939,108.839493,Balai Desa Cilempuyang,-7.342702844266789,108.83395417973034,1.514,3.4333,ok_azure
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Kuripan,-7.651916,109.083396,1.307,3.3833,ok_azure
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Kuripan,-7.651916,109.083396,1.307,3.3833,ok_azure
