desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Ujunggagak,-7.665938,108.818228,Balai Desa Panikel,-7.632277,108.855158,6.141,15.2833,ok_azure
Desa Panikel,-7.631573,108.856721,Balai Desa Ujunggagak,-7.666216,108.819289,6.521,17.0667,ok_azure
Desa Ujungalang,-7.700257,108.887835,Balai Desa Klaces,-7.685966,108.827926,7.412,19.7833,ok_azure
Desa Panikel,-7.631573,108.856721,Balai Desa Gintungreja,-7.570663353,108.865881,9.188,19.7333,ok_azure
Desa Panikel,-7.631573,108.856721,Balai Desa Gintungreja,-7.570663353,108.865881,9.188,19.7333,ok_azure
Desa Panikel,-7.631573,108.856721,Balai Desa Gintungreja,-7.570663353,108.865881,9.188,19.7333,ok_azure
Desa Tarisi,-7.392666,108.694566,Balai Desa Cisuru,-7.398928326,108.7365499,8.333,13.8167,ok_azure
Desa Ujunggagak,-7.665938,108.818228,Balai Desa Gintungreja,-7.570663353,108.865881,14.661,31.8833,ok_azure
Desa Boja,-7.211251,108.945039,Balai Desa Kutabima,-7.280607664645105,108.88291821754824,,,gagal_azure
Desa Boja,-7.211251,108.945039,Balai Desa Cisalak,-7.307785089523783,108.8654459383816,,,gagal_azure
Desa Boja,-7.211251,108.945039,Balai Desa Cibalung,-7.320312734352611,108.8786737778771,,,gagal_azure
Desa Dayeluhur,-7.173785,108.392153,Balai Desa Bolang,-7.202147627995013,108.58564433552408,26.721,50.0167,ok_azure
Desa Dayeluhur,-7.173785,108.392153,Balai Desa Cijeruk,-7.197356148363169,108.60044893735493,28.993,55.35,ok_azure
Desa Dayeluhur,-7.173785,108.392153,Balai Desa Cijeruk,-7.197356148363169,108.60044893735493,28.993,55.35,ok_azure
Desa Dayeluhur,-7.173785,108.392153,Balai Desa Cijeruk,-7.197356148363169,108.60044893735493,28.993,55.35,ok_azure
Desa Dayeluhur,-7.173785,108.392153,Balai Desa Bingkeng,-7.2371112160104465,108.59272960668014,28.961,56.8333,ok_azure
Kelurahan Kutawaru,-7.697561,108.990425,AMN Cilacap,-7.70348513473806,109.0200979788938,30.846,62.1667,ok_azure
Kelurahan Kutawaru,-7.697561,108.990425,Hotel Mutiara,-7.7090125,109.0192032,31.215,62.2667,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Danasri Lor,-7.639879709,109.3079376,33.387,50.6167,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Danasri Lor,-7.639879709,109.3079376,33.387,50.6167,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Danasri Lor,-7.639879709,109.3079376,33.387,50.6167,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Mujur Lor,-7.599457594,109.2480218,35.309,51.5167,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Danasri,-7.645367881,109.3049447,34.165,52.2,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Danasri,-7.645367881,109.3049447,34.165,52.2,ok_azure
Desa Karangasem,-7.472167,109.475513,Balai Desa Danasri,-7.645367881,109.3049447,34.165,52.2,ok_azure
