desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Kelurahan Donan,-7.714149,109.001532,SD Negeri Tegalreja 01,-7.714913,109.005655,0.74,0.739,2.54,2.0,ok_ors
Kelurahan Donan,-7.714149,109.001532,SD Negeri Tegalreja 01,-7.714913,109.005655,0.74,1.015,2.92,3.0,ok_ors
Kelurahan Tegalkamulyan,-7.721294,109.023384,Politeknik Negeri Cilacap,-7.717469,109.019929,0.75,0.754,2.38,1.0,ok_ors
Kelurahan Tegalkamulyan,-7.721294,109.023384,Politeknik Negeri Cilacap,-7.717469,109.019929,0.75,1.154,2.87,2.0,ok_ors
Kelurahan Gunungsimping,-7.707111,109.027039,Kelurahan Gunungsimping,-7.707182957,109.0315633,0.76,0.757,1.75,1.0,ok_ors
Kelurahan Gunungsimping,-7.707111,109.027039,Kelurahan Gunungsimping,-7.707182957,109.0315633,0.76,0.899,2.09,2.0,ok_ors
Desa Adiraja,-7.661459,109.164716,Balai Desa Adiraja,-7.666087841147282,109.16819716425138,0.79,0.793,1.14,1.0,ok_ors
Desa Bumireja,-7.536534,108.806366,Balai Desa Bumireja,-7.5377704,108.7994195,0.79,0.789,0.95,1.0,ok_ors
Kelurahan Gunungsimping,-7.707111,109.027039,SMA Sri Mukti Cilacap,-7.7083942,109.0220419,0.79,0.792,3.04,1.0,ok_ors
Kelurahan Gunungsimping,-7.707111,109.027039,SMA Sri Mukti Cilacap,-7.7083942,109.0220419,0.79,1.188,3.29,2.0,ok_ors
Kelurahan Gunungsimping,-7.707111,109.027039,SMA Sri Mukti Cilacap,-7.7083942,109.0220419,0.79,1.28,3.66,3.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Rejodadi,-7.321355585393663,108.79762552292264,0.81,0.815,2.44,1.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Rejodadi,-7.321355585393663,108.79762552292264,0.81,0.722,2.89,2.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Rejodadi,-7.321355585393663,108.79762552292264,0.81,0.813,3.25,3.0,ok_ors
