desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Ciwuni,-7.604209,109.083059,Balai Desa Karangjengkol,-7.602219,109.090462,1.33,1.334,2.52,1.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Gunungreja,-7.479329968,108.7856679,1.34,1.343,5.15,1.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Gunungreja,-7.479329968,108.7856679,1.34,1.45,5.8,2.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Gunungreja,-7.479329968,108.7856679,1.34,2.189,6.08,3.0,ok_ors
Desa Adimulya,-7.334996,108.689403,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,1.34,1.339,1.62,1.0,ok_ors
Desa Klaces,-7.681075,108.848305,Balai Desa Klaces,-7.685966,108.827926,1.37,,,,gagal_ors
Desa Sindangsari,-7.300775,108.767969,Balai Desa Jenang,-7.300138237864985,108.75817866114352,1.38,1.384,1.87,1.0,ok_ors
Desa Sindangsari,-7.300775,108.767969,Balai Desa Jenang,-7.300138237864985,108.75817866114352,1.38,1.579,2.06,2.0,ok_ors
Desa Sindangsari,-7.300775,108.767969,Balai Desa Jenang,-7.300138237864985,108.75817866114352,1.38,1.336,2.12,3.0,ok_ors
Desa Karang Sari,-7.637371,109.143197,Balai Desa Karangsari,-7.632979,109.135353,1.38,1.38,4.63,1.0,ok_ors
Desa Caruy,-7.373138,108.812791,Balai Desa Caruy,-7.375954694,108.8028629,1.42,1.419,4.61,1.0,ok_ors
Desa Caruy,-7.373138,108.812791,Balai Desa Caruy,-7.375954694,108.8028629,1.42,1.503,5.53,2.0,ok_ors
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangrena,-7.607614387,109.1286205,1.46,1.462,4.79,1.0,ok_ors
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangrena,-7.607614387,109.1286205,1.46,1.635,5.55,2.0,ok_ors
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangrena,-7.607614387,109.1286205,1.46,1.939,6.51,3.0,ok_ors
Desa Panisihan,-7.585351,109.158374,Balai Desa Maos Lor,-7.593684279,109.1481188,1.46,1.46,1.03,1.0,ok_ors
Desa Pengaweran,-7.382458,108.877978,Balai Desa Pengawaren,-7.38750728,108.8685968,1.46,1.457,2.05,1.0,ok_ors
Desa Keleng,-7.59519,109.111505,Balai Desa Pucung Lor,-7.586622826,109.1134249,1.5,1.498,3.32,1.0,ok_ors
Desa Karangkandri,-7.669839,109.0852,Balai Desa Kuripan Kidul,-7.6589,109.080926,1.51,1.508,1.44,1.0,ok_ors
Desa Cilibang,-7.578392,109.019556,Balai Desa Jambusari,-7.567455,109.026833,1.53,1.529,1.08,1.0,ok_ors
Desa Panimbang,-7.366119,108.868323,Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534,1.53,1.534,1.57,1.0,ok_ors
Desa Karangbenda,-7.672613,109.176723,Balai Desa Adiraja,-7.666087841147282,109.16819716425138,1.54,1.541,1.75,1.0,ok_ors
Desa Wlahar,-7.667687,109.13421,Balai Desa Bunton,-7.671146035522224,109.14546175880828,1.58,1.584,6.33,1.0,ok_ors
Desa Dondong,-7.618474,109.067465,Balai Desa Planjan,-7.623498,109.0785,1.61,1.611,4.33,1.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Gandrungmanis,-7.525009839,108.855699,1.61,1.608,3.23,1.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Gandrungmanis,-7.525009839,108.855699,1.61,1.956,4.16,2.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Gandrungmanis,-7.525009839,108.855699,1.61,1.774,4.38,3.0,ok_ors
Desa Bringkeng,-7.635518,108.917016,Balai Desa Grugu,-7.645197858,108.9126578,1.64,1.637,3.42,1.0,ok_ors
Desa Cisuru,-7.38692,108.701254,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,1.64,1.644,1.95,1.0,ok_ors
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Karangkandri,-7.669975,109.084671,1.66,1.661,1.96,1.0,ok_ors
Desa Karang Sari,-7.637371,109.143197,Balai Desa Kalikudi,-7.63321,109.15434,1.66,1.662,4.13,1.0,ok_ors
Desa Karang Sari,-7.637371,109.143197,Balai Desa Kalikudi,-7.63321,109.15434,1.66,2.124,4.66,2.0,ok_ors
Desa Mujur Lor,-7.599874,109.248844,Balai Desa Mujur,-7.612273016,109.2523055,1.67,1.666,2.39,1.0,ok_ors
Desa Karangpucung,-7.41075,108.906193,Balai Desa Karangpucung,-7.413007611,108.9004168,1.68,1.677,3.62,1.0,ok_ors
Desa Karangrena,-7.606723,109.133039,Balai Desa Maos Kidul,-7.607706169,109.1458109,1.71,1.714,3.35,1.0,ok_ors
Desa Bantarpanjang,-7.360889,108.856803,Balai Desa Cidadap,-7.353239673849244,108.85647850238144,1.77,,,,gagal_ors
Desa Tambaksari,-7.4401,108.881896,Balai Desa Sindangbarang,-7.431525182,108.8898178,1.79,1.795,2.93,1.0,ok_ors
Desa Mujur,-7.612107,109.253601,Balai Desa Mujur Lor,-7.599457594,109.2480218,1.81,1.805,2.69,1.0,ok_ors
Desa Kesugihan Kidul,-7.62259,109.121113,Balai Desa Kesugihan,-7.608925,109.116912,1.81,1.815,2.38,1.0,ok_ors
Desa Mulyadadi,-7.317188,108.775789,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,1.84,1.842,4.39,1.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bantarsari,-7.539932226,108.8705564,1.86,1.859,5.67,1.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bantarsari,-7.539932226,108.8705564,1.86,2.765,7.69,2.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bantarsari,-7.539932226,108.8705564,1.86,2.779,7.74,3.0,ok_ors
Desa Klumprit,-7.661907,109.35874,Balai Desa Kedungbenda,-7.667346462,109.3745851,1.88,1.882,2.06,1.0,ok_ors
Desa Mulyadadi,-7.317188,108.775789,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,1.89,1.894,3.47,1.0,ok_ors
Desa Karangpucung,-7.41075,108.906193,Balai Desa Tayemtimur,-7.413687359,108.9086003,1.91,1.905,3.55,1.0,ok_ors
Desa Karangbenda,-7.672613,109.176723,Balai Desa Adireja Wetan,-7.663377,109.1669,1.92,1.919,2.18,1.0,ok_ors
Desa Mandala,-7.357041,108.888654,Balai Desa Babakan,-7.342641751,108.8939473,1.92,1.925,2.31,1.0,ok_ors
Desa Padangjaya,-7.312664,108.785827,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,1.93,1.928,3.3,1.0,ok_ors
Desa Mekarsari,-7.400061,108.745623,Balai Desa Pegadingan,-7.406187976,108.7603955,1.94,1.945,4.07,1.0,ok_ors
Desa Karangkandri,-7.669839,109.0852,Balai Desa Menganti,-7.669045,109.072558,1.97,1.974,1.5,1.0,ok_ors
Desa Kedungbenda,-7.66758,109.375326,Balai Desa Klumprit,-7.661985721,109.3585673,1.97,1.966,2.37,1.0,ok_ors
Desa Jatisari,-7.514545,108.786467,Balai Desa Jatisari,-7.516566535,108.8002007,1.98,1.981,5.86,1.0,ok_ors
Desa Jatisari,-7.514545,108.786467,Balai Desa Jatisari,-7.516566535,108.8002007,1.98,3.435,7.02,2.0,ok_ors
Desa Panimbang,-7.366119,108.868323,Balai Desa Ciporos,-7.381721517,108.8713846,1.99,1.993,2.05,1.0,ok_ors
Desa Ciklapa,-7.506692,108.810952,Balai Desa Jatisari,-7.516566535,108.8002007,2.01,2.007,4.13,1.0,ok_ors
Desa Ciklapa,-7.506692,108.810952,Balai Desa Jatisari,-7.516566535,108.8002007,2.01,1.863,5.01,2.0,ok_ors
Desa Ciklapa,-7.506692,108.810952,Balai Desa Jatisari,-7.516566535,108.8002007,2.01,1.873,5.05,3.0,ok_ors
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Slarang,-7.659593,109.113482,2.03,2.032,3.17,1.0,ok_ors
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Slarang,-7.659593,109.113482,2.03,2.479,4.23,2.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Purwodadi,-7.600792841,108.7623893,2.04,2.042,5.55,1.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Purwodadi,-7.600792841,108.7623893,2.04,3.292,6.94,2.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Purwodadi,-7.600792841,108.7623893,2.04,3.349,7.12,3.0,ok_ors
Desa Bumireja,-7.536534,108.806366,Balai Desa Cisumur,-7.532618723,108.8210025,2.06,2.058,2.13,1.0,ok_ors
Desa Slarang,-7.659267,109.113899,Balai Desa Kalisabuk,-7.658169,109.098666,2.08,2.083,2.38,1.0,ok_ors
Desa Nusawungu,-7.648797,109.345277,Balai Desa Klumprit,-7.661985721,109.3585673,2.1,2.099,2.3,1.0,ok_ors
Desa Bojong,-7.608174,108.926794,Balai Desa Kawunganten,-7.592701,108.91958,2.11,2.111,2.78,1.0,ok_ors
Desa Sidamulya,-7.488885,108.804955,Balai Desa Sidareja,-7.482720383,108.7920794,2.15,2.145,4.36,1.0,ok_ors
Desa Mulyadadi,-7.317188,108.775789,Balai Desa Mulyasari,-7.316016450227107,108.7710207218418,2.19,2.187,4.18,1.0,ok_ors
Desa Purwasari,-7.384291,108.870808,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,2.2,2.2,1.9,1.0,ok_ors
Desa Mujur,-7.612107,109.253601,Balai Desa Bajing,-7.627507087,109.2517692,2.2,2.201,3.44,1.0,ok_ors
Desa Binagun,-7.543184,108.92231,Balai Desa Sarwadadi,-7.558281,108.917277,2.21,2.205,3.59,1.0,ok_ors
Desa Binagun,-7.543184,108.92231,Balai Desa Sarwadadi,-7.558281,108.917277,2.21,2.11,3.71,2.0,ok_ors
Desa Binagun,-7.543184,108.92231,Balai Desa Sarwadadi,-7.558281,108.917277,2.21,2.11,4.18,3.0,ok_ors
Desa Ciklapa,-7.506692,108.810952,Balai Desa Sudagaran,-7.4901238,108.8095576,2.23,2.234,6.86,1.0,ok_ors
Desa Klumprit,-7.661907,109.35874,Balai Desa Nusawungu,-7.64816393,109.3441551,2.26,2.255,2.62,1.0,ok_ors
Desa Kutasari,-7.392746,108.817824,Balai Desa Kutasari,-7.394689384,108.8031922,2.28,2.282,4.86,1.0,ok_ors
Desa Jatisari,-7.514545,108.786467,Balai Desa Kedungreja,-7.504965751,108.7808289,2.29,2.291,4.86,1.0,ok_ors
Desa Karang Sari,-7.637371,109.143197,Balai Desa Penggalang,-7.653467,109.137016,2.32,2.316,6.79,1.0,ok_ors
Desa Karang Sari,-7.637371,109.143197,Balai Desa Penggalang,-7.653467,109.137016,2.32,5.267,8.33,2.0,ok_ors
Desa Karang Sari,-7.637371,109.143197,Balai Desa Penggalang,-7.653467,109.137016,2.32,5.303,8.37,3.0,ok_ors
Desa Sudagaran,-7.491794,108.808189,Balai Desa Ciklapa,-7.506522388,108.8105504,2.32,2.323,7.32,1.0,ok_ors
Desa Sudagaran,-7.491794,108.808189,Balai Desa Ciklapa,-7.506522388,108.8105504,2.32,2.948,9.81,2.0,ok_ors
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kalijeruk,-7.578984,108.936294,2.33,2.325,2.99,1.0,ok_ors
Desa Nusajati,-7.596982,109.200002,Balai Desa Sidasari,-7.576864044,109.201582,2.33,2.335,3.02,1.0,ok_ors
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kawunganten Lor,-7.58543,108.919056,2.34,2.339,5.57,1.0,ok_ors
Desa Bojong,-7.608174,108.926794,Balai Desa Kubangkangkung,-7.620968609,108.9430662,2.35,2.354,2.57,1.0,ok_ors
Desa Ciwuni,-7.604209,109.083059,Balai Desa Planjan,-7.623498,109.0785,2.35,2.347,7.81,1.0,ok_ors
Desa Ciwuni,-7.604209,109.083059,Balai Desa Planjan,-7.623498,109.0785,2.35,3.402,10.4,2.0,ok_ors
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Karangsembung,-7.678502548,109.3554419,2.35,2.349,5.0,1.0,ok_ors
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Karangsembung,-7.678502548,109.3554419,2.35,2.61,5.46,2.0,ok_ors
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Karangsembung,-7.678502548,109.3554419,2.35,2.66,5.63,3.0,ok_ors
Desa Karangjengkol,-7.602037,109.091578,Balai Desa Keleng,-7.595349,109.11045,2.36,2.36,2.97,1.0,ok_ors
Desa Karangsembung,-7.679916,109.363203,Balai Desa Purwadadi,-7.676746425,109.3430598,2.37,2.375,5.19,1.0,ok_ors
Desa Karangsembung,-7.679916,109.363203,Balai Desa Purwadadi,-7.676746425,109.3430598,2.37,3.072,6.88,2.0,ok_ors
Desa Tegalsari,-7.485648,108.774499,Balai Desa Sidareja,-7.482720383,108.7920794,2.37,2.371,4.01,1.0,ok_ors
Desa Tegalsari,-7.485648,108.774499,Balai Desa Sidareja,-7.482720383,108.7920794,2.37,2.402,4.87,2.0,ok_ors
Desa Tegalsari,-7.485648,108.774499,Balai Desa Sidareja,-7.482720383,108.7920794,2.37,2.403,5.18,3.0,ok_ors
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangkemiri,-7.622875,109.130052,2.4,2.4,7.49,1.0,ok_ors
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kalijeruk,-7.578984,108.936294,2.42,2.421,5.46,1.0,ok_ors
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Gombolharjo,-7.663956,109.112655,2.43,2.433,4.0,1.0,ok_ors
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Gombolharjo,-7.663956,109.112655,2.43,2.755,4.56,2.0,ok_ors
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Gombolharjo,-7.663956,109.112655,2.43,2.743,4.79,3.0,ok_ors
Desa Sikampuh,-7.623398,109.197936,Balai Desa Ketanggung,-7.602318578,109.1984939,2.44,2.437,3.03,1.0,ok_ors
Desa Rawajaya,-7.557334,108.892896,Balai Desa Rawajaya,-7.562052055,108.8795462,2.44,2.436,5.81,1.0,ok_ors
Desa Rawajaya,-7.557334,108.892896,Balai Desa Rawajaya,-7.562052055,108.8795462,2.44,3.265,5.88,2.0,ok_ors
Desa Rawajaya,-7.557334,108.892896,Balai Desa Rawajaya,-7.562052055,108.8795462,2.44,2.329,6.0,3.0,ok_ors
Desa Penggalang,-7.653371,109.138309,Balai Desa Adipala,-7.660199,109.155491,2.46,2.457,2.92,1.0,ok_ors
Desa Penggalang,-7.653371,109.138309,Balai Desa Adipala,-7.660199,109.155491,2.46,2.333,3.92,2.0,ok_ors
Desa Cibalung,-7.320885,108.879411,Balai Desa Cisalak,-7.307785089523783,108.8654459383816,2.47,2.467,5.25,1.0,ok_ors
Desa Margasari,-7.469319,108.774928,Balai Desa Serang,-7.461139083,108.7602117,2.48,2.484,7.04,1.0,ok_ors
Desa Margasari,-7.469319,108.774928,Balai Desa Serang,-7.461139083,108.7602117,2.48,2.361,7.64,2.0,ok_ors
Desa Margasari,-7.469319,108.774928,Balai Desa Serang,-7.461139083,108.7602117,2.48,2.354,7.62,3.0,ok_ors
Desa Sidamukti,-7.609299,108.754052,Balai Desa Purwodadi,-7.600792841,108.7623893,2.48,2.481,4.97,1.0,ok_ors
Desa Sidamukti,-7.609299,108.754052,Balai Desa Purwodadi,-7.600792841,108.7623893,2.48,1.601,5.79,2.0,ok_ors
Desa Sidamukti,-7.609299,108.754052,Balai Desa Purwodadi,-7.600792841,108.7623893,2.48,1.955,5.83,3.0,ok_ors
Desa Karangsembung,-7.679916,109.363203,Balai Desa Klumprit,-7.661985721,109.3585673,2.52,2.521,5.02,1.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Cinyawang,-7.569886659,108.7697578,2.52,2.523,3.19,1.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Cinyawang,-7.569886659,108.7697578,2.52,3.502,4.08,2.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Cinyawang,-7.569886659,108.7697578,2.52,3.763,4.15,3.0,ok_ors
Desa Nusawungu,-7.648797,109.345277,Balai Desa Nusawangkal,-7.669997397,109.3432928,2.52,2.517,5.11,1.0,ok_ors
Desa Banjareja,-7.686408,109.374383,Balai Desa Kedungbenda,-7.667346462,109.3745851,2.54,2.545,3.08,1.0,ok_ors
Desa Gentasari,-7.601644,109.219899,Balai Desa Nusajati,-7.597090701,109.1991133,2.54,2.537,4.98,1.0,ok_ors
Desa Kalijeruk,-7.579115,108.936851,Balai Desa Mentasan,-7.582681,108.957987,2.55,2.546,2.84,1.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Sudagaran,-7.4901238,108.8095576,2.56,2.565,6.65,1.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Sudagaran,-7.4901238,108.8095576,2.56,2.729,7.57,2.0,ok_ors
Desa Sidareja,-7.480474,108.795257,Balai Desa Sudagaran,-7.4901238,108.8095576,2.56,2.404,8.22,3.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Muktisari,-7.505329682,108.8572533,2.58,2.584,5.23,1.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Muktisari,-7.505329682,108.8572533,2.58,4.476,7.11,2.0,ok_ors
Desa Penggalang,-7.653371,109.138309,Balai Desa Wlahar,-7.667846,109.133921,2.59,2.586,8.08,1.0,ok_ors
Desa Penggalang,-7.653371,109.138309,Balai Desa Wlahar,-7.667846,109.133921,2.59,3.639,8.22,2.0,ok_ors
Desa Penggalang,-7.653371,109.138309,Balai Desa Wlahar,-7.667846,109.133921,2.59,3.746,8.56,3.0,ok_ors
Desa Wanareja,-7.333816,108.687107,Balai Desa Sidamulya,-7.350584341,108.6761607,2.63,2.63,9.44,1.0,ok_ors
Desa Bantar,-7.352453,108.721116,Balai Desa Bantar,-7.353149095776255,108.70434235257424,2.63,,,,gagal_ors
Desa Cilongkrang,-7.408769,108.715668,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,2.65,2.65,2.79,1.0,ok_ors
Desa Bumireja,-7.536534,108.806366,kelurahan Tambakreja,-7.538736939,108.7836077,2.66,2.659,2.06,1.0,ok_ors
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Bumireja,-7.5377704,108.7994195,2.67,2.672,4.71,1.0,ok_ors
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Bumireja,-7.5377704,108.7994195,2.67,3.508,5.98,2.0,ok_ors
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Bumireja,-7.5377704,108.7994195,2.67,2.144,6.25,3.0,ok_ors
Desa Banjareja,-7.686408,109.374383,Balai Desa Karangsembung,-7.678502548,109.3554419,2.67,2.671,5.44,1.0,ok_ors
Desa Banjareja,-7.686408,109.374383,Balai Desa Karangsembung,-7.678502548,109.3554419,2.67,3.1,6.06,2.0,ok_ors
Desa Banjareja,-7.686408,109.374383,Balai Desa Karangsembung,-7.678502548,109.3554419,2.67,3.561,7.28,3.0,ok_ors
Desa Wlahar,-7.667687,109.13421,Balai Desa Penggalang,-7.653467,109.137016,2.67,2.668,8.31,1.0,ok_ors
Desa Wlahar,-7.667687,109.13421,Balai Desa Penggalang,-7.653467,109.137016,2.67,3.828,8.79,2.0,ok_ors
Desa Wlahar,-7.667687,109.13421,Balai Desa Penggalang,-7.653467,109.137016,2.67,3.837,8.97,3.0,ok_ors
Desa Cimanggu,-7.350939,108.839493,Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534,2.67,2.666,2.52,1.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Muktisari,-7.505329682,108.8572533,2.67,2.674,4.11,1.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Muktisari,-7.505329682,108.8572533,2.67,3.24,5.11,2.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Muktisari,-7.505329682,108.8572533,2.67,3.354,5.21,3.0,ok_ors
Desa Gentasari,-7.601644,109.219899,Balai Desa Karangjati,-7.581200895,109.2224442,2.68,2.682,3.68,1.0,ok_ors
Desa Madura,-7.331412,108.644776,Balai Desa Madusari,-7.309033604290997,108.64718680669638,2.68,2.683,5.36,1.0,ok_ors
Desa Pengaweran,-7.382458,108.877978,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,2.7,2.696,2.46,1.0,ok_ors
Desa Kedungbenda,-7.66758,109.375326,Balai Desa Banjareja,-7.686421459,109.3734922,2.72,2.715,3.57,1.0,ok_ors
Desa Tinggarjaya,-7.480452,108.766832,Balai Desa Margasari,-7.46922455,108.7502054,2.73,2.731,4.24,1.0,ok_ors
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur Lor,-7.599457594,109.2480218,2.73,2.729,3.01,1.0,ok_ors
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur Lor,-7.599457594,109.2480218,2.73,2.044,3.36,2.0,ok_ors
Desa Buntu,-7.589645,109.252029,Balai Desa Mujur Lor,-7.599457594,109.2480218,2.73,2.03,4.03,3.0,ok_ors
Desa Margasari,-7.469319,108.774928,Balai Desa Gunungreja,-7.479329968,108.7856679,2.73,2.731,8.46,1.0,ok_ors
Desa Adimulya,-7.334996,108.689403,Balai Desa Sidamulya,-7.350584341,108.6761607,2.75,2.755,8.93,1.0,ok_ors
Desa Mentasan,-7.58261,108.958872,Balai Desa Kalijeruk,-7.578984,108.936294,2.76,2.763,3.09,1.0,ok_ors
Desa Sudagaran,-7.491794,108.808189,Balai Desa Sidareja,-7.482720383,108.7920794,2.8,2.804,6.54,1.0,ok_ors
Desa Sudagaran,-7.491794,108.808189,Balai Desa Sidareja,-7.482720383,108.7920794,2.8,3.184,8.96,2.0,ok_ors
Desa Sidasari,-7.384348,108.78069,Balai Desa Kutasari,-7.394689384,108.8031922,2.82,2.82,4.19,1.0,ok_ors
Desa Mulyasari,-7.314002,108.773874,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.82,2.825,5.25,1.0,ok_ors
Desa Mulyasari,-7.314002,108.773874,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.82,3.538,5.95,2.0,ok_ors
Desa Mulyasari,-7.314002,108.773874,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.82,2.429,5.72,3.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,2.83,2.832,6.22,1.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,2.83,2.662,6.38,2.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,2.83,3.244,8.26,3.0,ok_ors
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangasem,-7.569695039,109.208944,2.84,2.836,6.83,1.0,ok_ors
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangasem,-7.569695039,109.208944,2.84,3.321,7.69,2.0,ok_ors
Desa Karangtengah,-7.553736,109.218149,Balai Desa Karangasem,-7.569695039,109.208944,2.84,2.924,7.71,3.0,ok_ors
Desa Cilopadang,-7.303708,108.790659,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,2.86,2.859,2.69,1.0,ok_ors
Desa Tambaksari,-7.4401,108.881896,Balai Desa Cinangsi,-7.461127087,108.8814047,2.89,2.887,4.54,1.0,ok_ors
Desa Tambaksari,-7.4401,108.881896,Balai Desa Cinangsi,-7.461127087,108.8814047,2.89,3.449,4.65,2.0,ok_ors
Desa Karangrena,-7.606723,109.133039,Balai Desa Karangkemiri,-7.622875,109.130052,2.91,2.908,6.22,1.0,ok_ors
Desa Sindangsari,-7.300775,108.767969,Balai Desa Cilopadang,-7.304095476590585,108.7902956932206,2.93,2.933,2.96,1.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Tegalsari,-7.485581773,108.7744421,2.94,2.937,5.64,1.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Tegalsari,-7.485581773,108.7744421,2.94,2.524,5.67,2.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Tegalsari,-7.485581773,108.7744421,2.94,2.534,6.0,3.0,ok_ors
Desa Kalijeruk,-7.579115,108.936851,Balai Desa Kawunganten,-7.592701,108.91958,2.96,2.956,3.4,1.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Kamulyan,-7.526990212,108.8634969,2.97,2.972,8.71,1.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Kamulyan,-7.526990212,108.8634969,2.97,3.263,10.17,2.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Kamulyan,-7.526990212,108.8634969,2.97,3.284,10.25,3.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,2.98,2.979,5.81,1.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,2.98,5.063,6.47,2.0,ok_ors
Desa Rejodadi,-7.325671,108.798297,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,2.98,5.359,6.86,3.0,ok_ors
Desa Paberasan,-7.588874,109.231656,Balai Desa Gentasari,-7.601690492,109.2195852,3.0,2.997,4.93,1.0,ok_ors
Desa Paberasan,-7.588874,109.231656,Balai Desa Gentasari,-7.601690492,109.2195852,3.0,4.14,6.29,2.0,ok_ors
Desa Paberasan,-7.588874,109.231656,Balai Desa Gentasari,-7.601690492,109.2195852,3.0,4.078,6.63,3.0,ok_ors
Desa Cibalung,-7.320885,108.879411,Balai Desa Bantarmangu,-7.339105124529084,108.8664505797285,3.0,3.004,6.18,1.0,ok_ors
Desa Jatisari,-7.514545,108.786467,Balai Desa Bangunreja,-7.50104298,108.7761072,3.01,3.008,5.9,1.0,ok_ors
Desa Jatisari,-7.514545,108.786467,Balai Desa Bangunreja,-7.50104298,108.7761072,3.01,3.4,6.12,2.0,ok_ors
Desa Jatisari,-7.514545,108.786467,Balai Desa Bangunreja,-7.50104298,108.7761072,3.01,3.472,6.6,3.0,ok_ors
Desa Sikampuh,-7.623398,109.197936,Balai Desa Nusajati,-7.597090701,109.1991133,3.02,3.022,3.82,1.0,ok_ors
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Cisumur,-7.532618723,108.8210025,3.03,3.028,5.38,1.0,ok_ors
Desa Kaliwungu,-7.548292,108.80998,Balai Desa Cisumur,-7.532618723,108.8210025,3.03,5.093,7.18,2.0,ok_ors
Desa Pahonjean,-7.324304,108.740084,Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124,3.04,3.036,5.44,1.0,ok_ors
Desa Pahonjean,-7.324304,108.740084,Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124,3.04,2.56,5.55,2.0,ok_ors
Desa Pahonjean,-7.324304,108.740084,Balai Desa Mulyadadi,-7.319125511223776,108.75173528074124,3.04,2.457,6.27,3.0,ok_ors
Desa Tambakreja,-7.538916,108.782982,Balai Desa Bumireja,-7.5377704,108.7994195,3.04,3.039,4.58,1.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bulaksari,-7.523812975,108.8887375,3.07,3.07,7.74,1.0,ok_ors
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bulaksari,-7.523812975,108.8887375,3.07,3.095,8.94,2.0,ok_ors
